id,oracion_id,oracion_original,oracion_limpia,oracion_sinStopWords,presidente,vicepresidente,lista,Partido
AG1,11,Justamente el tema de ser de la clase trabajadora y entender que un gobierno cuando no ayuda estorba es lo que creo que necesita este país para el cambio.,justamente el tema de ser de la clase trabajadora y entender que un gobierno cuando no ayuda estorba es lo que creo que necesita este pais para el cambio,justamente tema ser clase trabajadora entender gobierno ayuda estorba creo necesita pais cambio,ANDREA GONZALEZ,GALO MONCAYO,3.0,PARTIDO SOCIEDAD PATRIÓTICA 21 DE ENERO
AG1,12,Nosotros hemos propuesto opuestos sobre la mesa que lamentablemente los impuestos hoy en día son una vacuna para arriba con la suficiente vacuna para abajo que tienen emprendedor.,nosotros hemos propuesto opuestos sobre la mesa que lamentablemente los impuestos hoy en dia son una vacuna para arriba con la suficiente vacuna para abajo que tienen emprendedor,propuesto opuestos mesa lamentablemente impuestos hoy dia vacuna arriba suficiente vacuna abajo emprendedor,ANDREA GONZALEZ,GALO MONCAYO,3.0,PARTIDO SOCIEDAD PATRIÓTICA 21 DE ENERO
AG1,13,"Los procesos burocráticos, la corrupción enquistada, en los mandos medios del Ejecutivo, en el Asamblea, en el Judicial, te hablan de una depuración justamente de la política.",los procesos burocraticos la corrupcion enquistada en los mandos medios del ejecutivo en el asamblea en el judicial te hablan de una depuracion justamente de la politica,procesos burocraticos corrupcion enquistada mandos medios ejecutivo asamblea judicial hablan depuracion justamente politica,ANDREA GONZALEZ,GALO MONCAYO,3.0,PARTIDO SOCIEDAD PATRIÓTICA 21 DE ENERO
AG1,14,"Tu conversas con la gente de a pie y la gente de lo que menos confía es que en alguien que haya tenido una carrera lamentablemente porque no todos son así, pero tener en el perfil que tú has trabajado únicamente en cargos políticos o públicos hoy no suma para ese perfil de presidente.",tu conversas con la gente de a pie y la gente de lo que menos confia es que en alguien que haya tenido una carrera lamentablemente porque no todos son asi pero tener en el perfil que tu has trabajado unicamente en cargos politicos o publicos hoy no suma para ese perfil de presidente,conversas gente pie gente menos confia alguien carrera lamentablemente asi tener perfil trabajado unicamente cargos politicos publicos hoy suma perfil presidente,ANDREA GONZALEZ,GALO MONCAYO,3.0,PARTIDO SOCIEDAD PATRIÓTICA 21 DE ENERO
AG1,15,"Acabamos de escuchar a Álvaro Marchante de Comunicaliza y según la última encuesta todo se consigue entre en dos candidatos, Daniel Novoa y Luis Agunzales.",acabamos de escuchar a alvaro marchante de comunicaliza y segun la ultima encuesta todo se consigue entre en dos candidatos daniel novoa y luis agunzales,acabamos escuchar alvaro marchante comunicaliza segun ultima encuesta consigue dos candidatos daniel novoa luis agunzales,ANDREA GONZALEZ,GALO MONCAYO,3.0,PARTIDO SOCIEDAD PATRIÓTICA 21 DE ENERO
AG1,16,"Así es, somos un poco negros y blancos en Ecuador y nos perdemos todas estas líneas grises que hay.",asi es somos un poco negros y blancos en ecuador y nos perdemos todas estas lineas grises que hay,asi negros blancos ecuador perdemos todas lineas grises,ANDREA GONZALEZ,GALO MONCAYO,3.0,PARTIDO SOCIEDAD PATRIÓTICA 21 DE ENERO
AG1,17,"Yo me estoy basando un poco en mi experiencia en la anterior elección en la cual un debate presidencial puso presidente, a nosotros no se nos dejó entrar al debate presidencial, así que vamos terceros.",yo me estoy basando un poco en mi experiencia en la anterior eleccion en la cual un debate presidencial puso presidente a nosotros no se nos dejo entrar al debate presidencial asi que vamos terceros,basando experiencia anterior eleccion debate presidencial puso presidente dejo entrar debate presidencial asi vamos terceros,ANDREA GONZALEZ,GALO MONCAYO,3.0,PARTIDO SOCIEDAD PATRIÓTICA 21 DE ENERO
AG1,18,"Entonces, analizando un poco cómo vota el electorado de este país y como lo he dicho, esta campaña más que ser electoral es una campaña educativa.",entonces analizando un poco como vota el electorado de este pais y como lo he dicho esta campana mas que ser electoral es una campana educativa,entonces analizando vota electorado pais dicho campana mas ser electoral campana educativa,ANDREA GONZALEZ,GALO MONCAYO,3.0,PARTIDO SOCIEDAD PATRIÓTICA 21 DE ENERO
AG1,19,Yo vengo acá que el elector cambie esta relación tóxica que tiene con la política porque yo a la clase política no la voy a cambiar y no espero absolutamente nada de ellos.,yo vengo aca que el elector cambie esta relacion toxica que tiene con la politica porque yo a la clase politica no la voy a cambiar y no espero absolutamente nada de ellos,vengo aca elector cambie relacion toxica politica clase politica voy cambiar espero absolutamente,ANDREA GONZALEZ,GALO MONCAYO,3.0,PARTIDO SOCIEDAD PATRIÓTICA 21 DE ENERO
AG1,20,"Entonces, realmente hablamos de que según el proceso anterior, si el debate le abrió una vía al país que no era ni el negro ni el blanco que estaba estipulado en aquella propuesta, creo que venimos con una propuesta muy clara de entender.",entonces realmente hablamos de que segun el proceso anterior si el debate le abrio una via al pais que no era ni el negro ni el blanco que estaba estipulado en aquella propuesta creo que venimos con una propuesta muy clara de entender,entonces realmente hablamos segun proceso anterior si debate abrio via pais negro blanco estipulado aquella propuesta creo venimos propuesta clara entender,ANDREA GONZALEZ,GALO MONCAYO,3.0,PARTIDO SOCIEDAD PATRIÓTICA 21 DE ENERO
AG1,21,"La sostenibilidad del país financiera, económica, social es un lenguaje para todos.",la sostenibilidad del pais financiera economica social es un lenguaje para todos,sostenibilidad pais financiera economica social lenguaje,ANDREA GONZALEZ,GALO MONCAYO,3.0,PARTIDO SOCIEDAD PATRIÓTICA 21 DE ENERO
AG1,22,"Pero partiendo, dice usted, dentro de su plan de guberno, una recuperación de la institucionalidad, no a través de una Asamblea Constituyente, sino más bien... Es de diablo.",pero partiendo dice usted dentro de su plan de guberno una recuperacion de la institucionalidad no a traves de una asamblea constituyente sino mas bien es de diablo,partiendo dice usted dentro plan guberno recuperacion institucionalidad traves asamblea constituyente sino mas bien diablo,ANDREA GONZALEZ,GALO MONCAYO,3.0,PARTIDO SOCIEDAD PATRIÓTICA 21 DE ENERO
AG1,23,"Pero ahí quiero juntar a todos, porque usted habla de expertos de derecha, de izquierda, de todas las ideologías.",pero ahi quiero juntar a todos porque usted habla de expertos de derecha de izquierda de todas las ideologias,ahi quiero juntar usted habla expertos derecha izquierda todas ideologias,ANDREA GONZALEZ,GALO MONCAYO,3.0,PARTIDO SOCIEDAD PATRIÓTICA 21 DE ENERO
AG1,24,"Mira, una democracia sana, tú tienes ese debate de izquierda y derecha y con el respeto que merezca una opinión distinta de la mía, creo que el último debate de izquierda y derecha que tuvo este país fue Borja y fue Berscorder.",mira una democracia sana tu tienes ese debate de izquierda y derecha y con el respeto que merezca una opinion distinta de la mia creo que el ultimo debate de izquierda y derecha que tuvo este pais fue borja y fue berscorder,mira democracia sana debate izquierda derecha respeto merezca opinion distinta mia creo ultimo debate izquierda derecha pais borja berscorder,ANDREA GONZALEZ,GALO MONCAYO,3.0,PARTIDO SOCIEDAD PATRIÓTICA 21 DE ENERO
AG1,25,De ahí en adelante se ha desvirtuado totalmente.,de ahi en adelante se ha desvirtuado totalmente,ahi adelante desvirtuado totalmente,ANDREA GONZALEZ,GALO MONCAYO,3.0,PARTIDO SOCIEDAD PATRIÓTICA 21 DE ENERO
AG1,26,"Y yo como milenial, soy una generación que no concibe o no entiende cómo partidos de derechas de izquierda se comportan de la manera que se han comportado en los últimos 20 años y no comparten absolutamente ningún proyecto que saca el país adelante, pero sí comparten los jueces corruptos y las cárceles.",y yo como milenial soy una generacion que no concibe o no entiende como partidos de derechas de izquierda se comportan de la manera que se han comportado en los ultimos anos y no comparten absolutamente ningun proyecto que saca el pais adelante pero si comparten los jueces corruptos y las carceles,milenial generacion concibe entiende partidos derechas izquierda comportan manera comportado ultimos anos comparten absolutamente ningun proyecto saca pais adelante si comparten jueces corruptos carceles,ANDREA GONZALEZ,GALO MONCAYO,3.0,PARTIDO SOCIEDAD PATRIÓTICA 21 DE ENERO
AG1,27,"Entonces, cuando tú ya te das cuenta que, lamentablemente, aquí no hay derechas izquierdas, y lo corrupto y más corrupto, y esto porque siempre hemos sido claros, esto es anticorreísmo, es anticorrupción y en la corrupción hay un montón de partidos, hablamos de que también tienes que depurar esa política como tal.",entonces cuando tu ya te das cuenta que lamentablemente aqui no hay derechas izquierdas y lo corrupto y mas corrupto y esto porque siempre hemos sido claros esto es anticorreismo es anticorrupcion y en la corrupcion hay un monton de partidos hablamos de que tambien tienes que depurar esa politica como tal,entonces das cuenta lamentablemente aqui derechas izquierdas corrupto mas corrupto siempre sido claros anticorreismo anticorrupcion corrupcion monton partidos hablamos tambien depurar politica tal,ANDREA GONZALEZ,GALO MONCAYO,3.0,PARTIDO SOCIEDAD PATRIÓTICA 21 DE ENERO
AG1,28,"Y para dar paso a eso, también menciona una reducción del gasto público, habla de supremir ministerios.",y para dar paso a eso tambien menciona una reduccion del gasto publico habla de supremir ministerios,dar paso tambien menciona reduccion gasto publico habla supremir ministerios,ANDREA GONZALEZ,GALO MONCAYO,3.0,PARTIDO SOCIEDAD PATRIÓTICA 21 DE ENERO
AG1,29,"Hay 17 ministerios y yo sé que yo no sé la que tiene que hacer las preguntas listes, pero tú me podrías contestar cuáles son los 17.",hay ministerios y yo se que yo no se la que tiene que hacer las preguntas listes pero tu me podrias contestar cuales son los,ministerios hacer preguntas listes podrias contestar cuales,ANDREA GONZALEZ,GALO MONCAYO,3.0,PARTIDO SOCIEDAD PATRIÓTICA 21 DE ENERO
AG1,30,"¿Perdorías, monstruos, que no están ahí?",perdorias monstruos que no estan ahi,perdorias monstruos estan ahi,ANDREA GONZALEZ,GALO MONCAYO,3.0,PARTIDO SOCIEDAD PATRIÓTICA 21 DE ENERO
AG1,31,"Hemos calculado unos 9 ministerios, pasarían a ser secretarías, ya vamos a formular un poco mejor la propuesta como tal.",hemos calculado unos ministerios pasarian a ser secretarias ya vamos a formular un poco mejor la propuesta como tal,calculado ministerios pasarian ser secretarias vamos formular mejor propuesta tal,ANDREA GONZALEZ,GALO MONCAYO,3.0,PARTIDO SOCIEDAD PATRIÓTICA 21 DE ENERO
AG1,32,"Es un tema que parece ser delicado, pero la realidad es increíblemente eficiente, y cuando me dicen, todo el mundo promete reducir la burocracia, antes no había la inteligencia artificial.",es un tema que parece ser delicado pero la realidad es increiblemente eficiente y cuando me dicen todo el mundo promete reducir la burocracia antes no habia la inteligencia artificial,tema parece ser delicado realidad increiblemente eficiente dicen mundo promete reducir burocracia habia inteligencia artificial,ANDREA GONZALEZ,GALO MONCAYO,3.0,PARTIDO SOCIEDAD PATRIÓTICA 21 DE ENERO
AG1,33,"Y Ecuador, si tú ya aceptas que es un narco-estado, como, lamentablemente, luego del asesinato a mi meninomio, me tocó a mí aceptarlo porque yo no creía que Ecuador era un narco-estado, definitivamente, después de el magnicillio y los procesos que se dieron después de eso para no dejarnos participar, yo sí estoy convencida de que Ecuador ya es un narco-estado.",y ecuador si tu ya aceptas que es un narco estado como lamentablemente luego del asesinato a mi meninomio me toco a mi aceptarlo porque yo no creia que ecuador era un narco estado definitivamente despues de el magnicillio y los procesos que se dieron despues de eso para no dejarnos participar yo si estoy convencida de que ecuador ya es un narco estado,ecuador si aceptas narco lamentablemente luego asesinato meninomio toco aceptarlo creia ecuador narco definitivamente despues magnicillio procesos dieron despues dejarnos participar si convencida ecuador narco,ANDREA GONZALEZ,GALO MONCAYO,3.0,PARTIDO SOCIEDAD PATRIÓTICA 21 DE ENERO
AG1,34,"Entonces, si te basas en eso, tú ya sabes que los procesos, tú tienes que ser quien los cuida, porque si depende, obviamente, de la democracia, no hay como tal y todo esto.",entonces si te basas en eso tu ya sabes que los procesos tu tienes que ser quien los cuida porque si depende obviamente de la democracia no hay como tal y todo esto,entonces si basas sabes procesos ser cuida si depende obviamente democracia tal,ANDREA GONZALEZ,GALO MONCAYO,3.0,PARTIDO SOCIEDAD PATRIÓTICA 21 DE ENERO
AG1,35,"Quería, Liz, se basa en esta constitución que realmente tiene atado al país en dos temas, en seguridad y en economía.",queria liz se basa en esta constitucion que realmente tiene atado al pais en dos temas en seguridad y en economia,queria liz basa constitucion realmente atado pais dos temas seguridad economia,ANDREA GONZALEZ,GALO MONCAYO,3.0,PARTIDO SOCIEDAD PATRIÓTICA 21 DE ENERO
AG1,36,"Sigue siendo la principal preocupación para los ecuatorianos en las encuestas, pero convertir a este narco-estado, usted lo visualiza desde reforzar la seguridad en el mar, pero ¿qué pasa con las fronteras?",sigue siendo la principal preocupacion para los ecuatorianos en las encuestas pero convertir a este narco estado usted lo visualiza desde reforzar la seguridad en el mar pero que pasa con las fronteras,sigue siendo principal preocupacion ecuatorianos encuestas convertir narco usted visualiza reforzar seguridad mar pasa fronteras,ANDREA GONZALEZ,GALO MONCAYO,3.0,PARTIDO SOCIEDAD PATRIÓTICA 21 DE ENERO
AG1,37,"¿Qué pasa con el combate a otras actividades conexas, el secuestro o la extorsión?",que pasa con el combate a otras actividades conexas el secuestro o la extorsion,pasa combate actividades conexas secuestro extorsion,ANDREA GONZALEZ,GALO MONCAYO,3.0,PARTIDO SOCIEDAD PATRIÓTICA 21 DE ENERO
AG1,38,"Y hay varias cosas, porque esa es la lucha en territorio, pero la otra es la lucha contra el narco-estado que ha tomado el legislativo, el judicial y parte del ejecutivo.",y hay varias cosas porque esa es la lucha en territorio pero la otra es la lucha contra el narco estado que ha tomado el legislativo el judicial y parte del ejecutivo,varias cosas lucha territorio lucha narco tomado legislativo judicial parte ejecutivo,ANDREA GONZALEZ,GALO MONCAYO,3.0,PARTIDO SOCIEDAD PATRIÓTICA 21 DE ENERO
AG1,39,"Por eso no puedes volver a ser una nueva constitución a través de una Asamblea Constituyente, porque, lamentablemente, la Asamblea está coptada ya por tres tipos de dineros corruptos que permean el tema político.",por eso no puedes volver a ser una nueva constitucion a traves de una asamblea constituyente porque lamentablemente la asamblea esta coptada ya por tres tipos de dineros corruptos que permean el tema politico,puedes volver ser nueva constitucion traves asamblea constituyente lamentablemente asamblea coptada tres tipos dineros corruptos permean tema politico,ANDREA GONZALEZ,GALO MONCAYO,3.0,PARTIDO SOCIEDAD PATRIÓTICA 21 DE ENERO
AG1,40,"Tienes los sobornos, tienes el narcotráfico y el oro ilegal, que representan ahora grandes poderes e intereses dentro del tejimanéje nacional.",tienes los sobornos tienes el narcotrafico y el oro ilegal que representan ahora grandes poderes e intereses dentro del tejimaneje nacional,sobornos narcotrafico oro ilegal representan ahora grandes poderes intereses dentro tejimaneje nacional,ANDREA GONZALEZ,GALO MONCAYO,3.0,PARTIDO SOCIEDAD PATRIÓTICA 21 DE ENERO
AG1,41,"Entonces, si tú haces una nueva constitución a través de una Asamblea Constituyente, vuelves a tener una constitución para un narco-estado.",entonces si tu haces una nueva constitucion a traves de una asamblea constituyente vuelves a tener una constitucion para un narco estado,entonces si haces nueva constitucion traves asamblea constituyente vuelves tener constitucion narco,ANDREA GONZALEZ,GALO MONCAYO,3.0,PARTIDO SOCIEDAD PATRIÓTICA 21 DE ENERO
AG1,42,"El resultado de esa constitución, que salga de esa Asamblea formada como está, volverá a ser un narco-estado, porque esta constitución considera como excepcional dos cosas, la cárcel y la inversión privada.",el resultado de esa constitucion que salga de esa asamblea formada como esta volvera a ser un narco estado porque esta constitucion considera como excepcional dos cosas la carcel y la inversion privada,resultado constitucion salga asamblea formada volvera ser narco constitucion considera excepcional dos cosas carcel inversion privada,ANDREA GONZALEZ,GALO MONCAYO,3.0,PARTIDO SOCIEDAD PATRIÓTICA 21 DE ENERO
AG1,43,Porque está basada en un modelo chavista.,porque esta basada en un modelo chavista,basada modelo chavista,ANDREA GONZALEZ,GALO MONCAYO,3.0,PARTIDO SOCIEDAD PATRIÓTICA 21 DE ENERO
AG1,44,"Y a diferencia de Venezuela, su acordo puede imprimir su dinero.",y a diferencia de venezuela su acordo puede imprimir su dinero,diferencia venezuela acordo puede imprimir dinero,ANDREA GONZALEZ,GALO MONCAYO,3.0,PARTIDO SOCIEDAD PATRIÓTICA 21 DE ENERO
AG1,45,No tenemos una maquinita para imprimir bolívares.,no tenemos una maquinita para imprimir bolivares,maquinita imprimir bolivares,ANDREA GONZALEZ,GALO MONCAYO,3.0,PARTIDO SOCIEDAD PATRIÓTICA 21 DE ENERO
AG1,46,"Cumplimos 25 años de dolarización hace poco, pero quítanme 16 años de esta constitución que vea la inversión privada como el demonio.",cumplimos anos de dolarizacion hace poco pero quitanme anos de esta constitucion que vea la inversion privada como el demonio,cumplimos anos dolarizacion hace quitanme anos constitucion vea inversion privada demonio,ANDREA GONZALEZ,GALO MONCAYO,3.0,PARTIDO SOCIEDAD PATRIÓTICA 21 DE ENERO
AG1,47,Pero la estrategia es cambiar esa constitución.,pero la estrategia es cambiar esa constitucion,estrategia cambiar constitucion,ANDREA GONZALEZ,GALO MONCAYO,3.0,PARTIDO SOCIEDAD PATRIÓTICA 21 DE ENERO
AG1,48,"¿Cuáles van a ser, quizás, esas estrategias que se materialicen para devolvernos la tranquilidad de la Seguridad de los Equatorianos?",cuales van a ser quizas esas estrategias que se materialicen para devolvernos la tranquilidad de la seguridad de los equatorianos,cuales van ser quizas estrategias materialicen devolvernos tranquilidad seguridad equatorianos,ANDREA GONZALEZ,GALO MONCAYO,3.0,PARTIDO SOCIEDAD PATRIÓTICA 21 DE ENERO
AG1,49,"Mirando, siempre estuvimos así.",mirando siempre estuvimos asi,mirando siempre asi,ANDREA GONZALEZ,GALO MONCAYO,3.0,PARTIDO SOCIEDAD PATRIÓTICA 21 DE ENERO
AG1,50,"Y eso es a lo que yo trato de explicarle a una generación entera que, lamentablemente, lo único que ha visto es este desmadre, porque no hay otra manera de decirlo.",y eso es a lo que yo trato de explicarle a una generacion entera que lamentablemente lo unico que ha visto es este desmadre porque no hay otra manera de decirlo,trato explicarle generacion entera lamentablemente unico visto desmadre manera decirlo,ANDREA GONZALEZ,GALO MONCAYO,3.0,PARTIDO SOCIEDAD PATRIÓTICA 21 DE ENERO
AG1,51,"Los más expertos constitucionalistas cogen nuestra constitución y le dan la vuelta, nos hemos dado cuenta que incluso aquellos que hicieron esa constitución para 300 años fueron los primeros en violentarla en su momento.",los mas expertos constitucionalistas cogen nuestra constitucion y le dan la vuelta nos hemos dado cuenta que incluso aquellos que hicieron esa constitucion para anos fueron los primeros en violentarla en su momento,mas expertos constitucionalistas cogen constitucion dan vuelta dado cuenta incluso aquellos hicieron constitucion anos primeros violentarla momento,ANDREA GONZALEZ,GALO MONCAYO,3.0,PARTIDO SOCIEDAD PATRIÓTICA 21 DE ENERO
AG1,52,"Entonces, esta constitución, y ya no hablemos de correísmo o anticorreísmo, sino con alta carga ideológica de un proyecto fracasado en Latinoamérica, el socialismo del siglo 21 es un fracaso en Latinoamérica.",entonces esta constitucion y ya no hablemos de correismo o anticorreismo sino con alta carga ideologica de un proyecto fracasado en latinoamerica el socialismo del siglo es un fracaso en latinoamerica,entonces constitucion hablemos correismo anticorreismo sino alta carga ideologica proyecto fracasado latinoamerica socialismo siglo fracaso latinoamerica,ANDREA GONZALEZ,GALO MONCAYO,3.0,PARTIDO SOCIEDAD PATRIÓTICA 21 DE ENERO
AG1,53,"Y yo le mando un abrazo a ese pueblo valiente de Venezuela, pero vamos hacia ese camino si esta constitución con alma chavista sigue siendo el centro económico, social y de sostenibilidad financiera que tiene Ecuador.",y yo le mando un abrazo a ese pueblo valiente de venezuela pero vamos hacia ese camino si esta constitucion con alma chavista sigue siendo el centro economico social y de sostenibilidad financiera que tiene ecuador,mando abrazo pueblo valiente venezuela vamos hacia camino si constitucion alma chavista sigue siendo centro economico social sostenibilidad financiera ecuador,ANDREA GONZALEZ,GALO MONCAYO,3.0,PARTIDO SOCIEDAD PATRIÓTICA 21 DE ENERO
AG1,54,"Entonces, si tú comprendes que la raíz de todos los problemas, tanto el económico y el de seguridad, son por la crisis política, como electores sí te conviertes en el principal responsable de esto.",entonces si tu comprendes que la raiz de todos los problemas tanto el economico y el de seguridad son por la crisis politica como electores si te conviertes en el principal responsable de esto,entonces si comprendes raiz problemas economico seguridad crisis politica electores si conviertes principal responsable,ANDREA GONZALEZ,GALO MONCAYO,3.0,PARTIDO SOCIEDAD PATRIÓTICA 21 DE ENERO
AG1,55,"Y en realidad, esta campaña habla de que cada elector comprenda que hemos llegado hasta este punto por las decisiones que como electores hemos tomado.",y en realidad esta campana habla de que cada elector comprenda que hemos llegado hasta este punto por las decisiones que como electores hemos tomado,realidad campana habla cada elector comprenda llegado punto decisiones electores tomado,ANDREA GONZALEZ,GALO MONCAYO,3.0,PARTIDO SOCIEDAD PATRIÓTICA 21 DE ENERO
AG1,56,"Pero va a reforzar a la policía, va a reforzar al ejército, los va a regresar a la frontera, los va a mantener como están hoy, por ejemplo.",pero va a reforzar a la policia va a reforzar al ejercito los va a regresar a la frontera los va a mantener como estan hoy por ejemplo,va reforzar policia va reforzar ejercito va regresar frontera va mantener estan hoy ejemplo,ANDREA GONZALEZ,GALO MONCAYO,3.0,PARTIDO SOCIEDAD PATRIÓTICA 21 DE ENERO
AG1,57,Aquí hay un gran elefante en la sala que nadie lo dice y entiendo que puede ser por miedo o tal vez complicidad.,aqui hay un gran elefante en la sala que nadie lo dice y entiendo que puede ser por miedo o tal vez complicidad,aqui gran elefante sala nadie dice entiendo puede ser miedo tal vez complicidad,ANDREA GONZALEZ,GALO MONCAYO,3.0,PARTIDO SOCIEDAD PATRIÓTICA 21 DE ENERO
AG1,58,"Yo creo que durante el proyecto del socialismo del siglo 21, Rafael Correa pactó con las FARC la salida de la cocaína por nuestra costa en una PACS Narco que Arduino Tomasi describe muy bien en muchos artículos.",yo creo que durante el proyecto del socialismo del siglo rafael correa pacto con las farc la salida de la cocaina por nuestra costa en una pacs narco que arduino tomasi describe muy bien en muchos articulos,creo proyecto socialismo siglo rafael correa pacto farc salida cocaina costa pacs narco arduino tomasi describe bien articulos,ANDREA GONZALEZ,GALO MONCAYO,3.0,PARTIDO SOCIEDAD PATRIÓTICA 21 DE ENERO
AG1,59,"Ya no solamente era con la FARC o el Ejército de Liberación Nacional y recordemos el evento de Angostura, donde se rompen relaciones diplomáticas con Colombia por conseguir a Raúl Rey es uno de los grandes líderes de las FARC.",ya no solamente era con la farc o el ejercito de liberacion nacional y recordemos el evento de angostura donde se rompen relaciones diplomaticas con colombia por conseguir a raul rey es uno de los grandes lideres de las farc,solamente farc ejercito liberacion nacional recordemos evento angostura rompen relaciones diplomaticas colombia conseguir raul rey grandes lideres farc,ANDREA GONZALEZ,GALO MONCAYO,3.0,PARTIDO SOCIEDAD PATRIÓTICA 21 DE ENERO
AG1,60,"Luego de esto ya aparece también el cartel de Sinaloa y el cartel de Jalisco, Nueva Generación, en esta como unidad de latinoamericana entre México y Colombia por la bandera de Bolívar, luego viene la mafia alvanesa.",luego de esto ya aparece tambien el cartel de sinaloa y el cartel de jalisco nueva generacion en esta como unidad de latinoamericana entre mexico y colombia por la bandera de bolivar luego viene la mafia alvanesa,luego aparece tambien cartel sinaloa cartel jalisco nueva generacion unidad latinoamericana mexico colombia bandera bolivar luego viene mafia alvanesa,ANDREA GONZALEZ,GALO MONCAYO,3.0,PARTIDO SOCIEDAD PATRIÓTICA 21 DE ENERO
AG1,61,"Yo sé que yo no puedo hacer las preguntas, pero dudo que la mafia alvanesa sea socialista, ¿no?",yo se que yo no puedo hacer las preguntas pero dudo que la mafia alvanesa sea socialista no,puedo hacer preguntas dudo mafia alvanesa socialista,ANDREA GONZALEZ,GALO MONCAYO,3.0,PARTIDO SOCIEDAD PATRIÓTICA 21 DE ENERO
