ID;Oracion_ID;Oracion;Temas Clave
1;66;vinculado permanente diálogo social tripartito mano tendido manera permanente sindicato empresario fomentar negociación colectivo;
1;67;controlar empresa utilizar plataforma digital asegurar respetar derecho laboral persona emplear régimen asalariado;
1;68;crear mecanismo política integrar joven expulsado mundo educativo laboral;política
1;69;marco impulsar legislación reivindicar derecho primero empleo joven estrategia práctica formación dual exención tributario empresa generar empleo formal joven;empleo
1;70;establecer política beca terminalidad educativo formación profesionalización crédito emprendimiento generar trabajo joven;emprendimiento, política
1;71;implementar política público sostenimiento simultáneo trayectoria educativo laboral joven articular necesidad derecho;política
1;72;implementar política público discriminación estigma pesar joven así situación segregación exclusión condicionar vida visibilizar diferente modo ser joven reconocer derecho diversidad;política
1;73;promover economía social garantizar crédito maquinaria herramienta capacitación seguimiento acompañamiento;economía
1;74;fortalecer programa microcrédito incorporar diferente escala línea financiamiento flexibilizar método generar masividad crear banca crédito local regional gobierno local;gobierno
1;75;generar obra público comunitario emergente prioricir vinculación trabajadora trabajador desempleado;
1;76;establecer modelo vinculación plan social trabajo facilitar persona beneficiario plan insertar mercado laboral manera formal;
1;77;reformar profundidad iess favor persona afiliada cumplir aporte patronal transparentar cálculo actuarial tomar correctivo necesario modernizar gestión lograr servicio oportuno calidad;
1;78;mejorar cuantía dignificar prestación;
1;79;impulsar sistema seguridad social componente convergir base principio universalidad solidaridad igualdad suficiencio participación social así equidad viabilidad fiscal;ciencia, seguridad, igualdad
1;80;recuperar lucha trabajo infantil protección adolescente trabajador;
1;81;ciudadanir educación recuperar universidad público universidad emblemático país programa beca exterior excelencia calidad;educación
1;82;cumplir preasignación presupuestario constitucional educación incrementar inversión educativo;inversión, educación
1;83;democratizar acceso educación garantizar derecho estudiante educación público calidad gratuito nivel educativo inicial educación general básico bachillerato tercer nivel universitario;educación
1;84;reforzar recurso capacidad educación etapa temprano avanzar modelo priorizar experimentación creatividad capacidad resolución problema desarrollo capacidad personal adquisición competencia básico;desarrollo, educación
1;85;fomentar ampliación cobertura educación secundario favorecer particular formación técnico tecnológico sector ligado producción industrial artesanal agrícola combinar perspectiva desarrollo social productivo incorporar criterio alfabetización digital;industria, desarrollo, educación
1;86;garantizar derecho docente ecuatoriano mejorar calidad educativo fortalecer trabajo mediante regulación carrera docente escalafón reivindicar derecho responsabilidad;
1;87;política salarial remuneración justo acuerdo profesionalización desempeño mérito académico nivel educativo;política
1;88;b;
1;89;estabilidad docente nivel modalidad;
1;90;c;
1;91;promoción movilidad alternancia docente;movilidad
1;92;d;
1;93;profesionalización actualización formación continuo mejoramiento personal pedagógico académico;
1;94;fortalecer incrementar instituto educación superior;educación superior, educación
1;95;revisar modelo pedagógico incentivar pensamiento crítico estudiante;
1;96;revisar plan decenal educativo fortalecimiento sistema educativo nacional;
1;97;garantizar cobertura universal oferta educativo público nivel nacional bajo principio equidad social territorial regional;
1;98;implementar política facilitar acceso universal diferente nivel educación facilidad movilidad región geográfico;política, educación, movilidad
1;99;recuperar fortalecer unidad educativo milenio uem garantizar acceso población escolar zona rural usualmente excluido servicio educativo;
1;100;distribuir recurso educación criterio equidad social poblacional territorial eliminar brecha desigualdad étnico género urbano rural condición físico;igualdad, educación
1;101;requerir rendición cuenta resultado educativo gestión recurso público parte institución fiscomisional artesanal comunitario financiamiento estatal garantizado principio gratuidad igualdad oportunidad;igualdad
1;102;combatir déficit educacional cuanto analfabetismo puro funcional digital;
1;103;desarrollar modalidad formal formal permitir oportunidad educativo persona adulto superación rezago educativo;
1;104;enlazar educación necesidad económico productivo social cultural ambiental territorio;cultura, educación
1;105;mejorar infraestructura equipamiento físico tecnológico institución educativo;infraestructura
1;106;reducir brecha tecnológico conectividad urbano urbanomarginal rural mediante cobertura universal energía eléctrico telecomunicación internet territorio nacional;energía
1;107;recuperar infocentro mecanismo democrático equitativo acceso tecnología mejoramiento educativo población rural urbano escaso ingreso económico;tecnología
1;108;incorporar tecnología información comunicación tic proceso educativo;tecnología
1;109;erradicar forma violencia sistema educativo velar integridad físico psicológico sexual estudiante;
1;110;brindar atención psicopedagógico oportuno adecuado estudiante capacidad necesidad especial país;
1;111;adaptar sistema educación rural realidad necesidad territorial potenciar desarrollo capacidad niño joven hombre mujer rural así generar oportunidad territorio garantizar mejor condición ejercicio derecho libre movilidad;desarrollo, educación, movilidad
1;112;establecer sistema nacional evaluación fomentar mejora continuo;
1;113;fortalecer ampliar bachillerato técnico instituto técnico tecnológico superior calidad pertinencia necesidad potencialidad territorio;
1;114;mejorar sistema nivelación admisión ingreso educación superior público criterio accesibilidad equidad justicia social;accesibilidad, educación superior, justicia, justicia social, educación
1;115;establecer mecanismo regulado beca crédito cobro cuota ingreso u permitir equidad social ingreso educación superior particular;educación superior, educación
1;116;establecer incentivo académico económico estudiante entorno socioeconómico desfavorecido demostrar alto rendimiento académico;
1;117;impulsar profesionalización trabajador través reconocimiento actualización cualificación laboral;
1;118;ciudadanir salud alimentación vivienda digno ampliar presupuesto atención salud obligación superior;salud, vivienda
1;119;garantizar plan presupuestario casa salud existente poder recuperar función calidad;salud
1;120;reincorporar personal sanitario medicina enfermería personal asistencial despedido ilegalmente pasado año fijar salario digno sector salud;salud
1;121;garantizar derecho salud deber primordial deber proveer ciudadano oportunidad mantener grado máximo salud;salud
1;122;fortalecer política ser determinante mantenimiento salud infraestructura sanitario acceso medicamento servicio médico asegurar agua potable así alcantarillado seguridad alimentario educación cultura físico ambiente sano hábitat saludable vivienda adecuado etc;salud, ambiente, política, seguridad, vivienda, educación, infraestructura, cultura
1;123;apoyar gad lograr dotación universal agua potable seguro alcantarillado recolección basura adecuado tratamiento desecho sólido potenciar acción promoción propiciar actividad físico recreación hábito saludable fin contener disminuir enfermedad través prevención;salud
1;124;priorizar desarrollo estrategia intersectorial eficiente efectivo luchar malnutrición;desarrollo
1;125;desarrollar estrategia multidisciplinario intersectorial hacia erradicación violencia intrafamiliar violencia género forma violencia ámbito privado público;
1;126;consolidar sistema nacional salud tener base atención primario salud dar verdadero prioridad promoción prevención logro acceso equitativo universal oportuno continuo base especificidad étnico cultural ciclo vida género territorial consolidar articulación intersectorial participación ciudadano diferente nivel atención;salud, cultura
1;127;implicar atención gratuito constitución red integral atención incluir diferente nivel complejidad involucrar recurso existente público msp iess ffaa privado bajo rectoría regulación autoridad sanitario nacional;
1;128;incluir unidad salud privado prestadora servicio médico través bajo sistema único salud respetar criterio eficiencia eficacio transparencia;salud, ciencia, transparencia
1;129;fortalecer unidad salud hospital unidad salud general cuanto infraestructura personal equipamiento abastecimiento insumo medicamento según nivel complejidad retomar cumplimiento estándar internacional calidad;infraestructura, salud
1;130;establecer presupuesto anual plurianual mantener equipo instalación hospitalario momento desabastecido deteriorado tras siete año descuido administración actual;
1;131;propiciarar adquisición equipo médico asignación presupuestario mantenimiento preventivo correctivo vida útil equipo;
1;132;invertir especialmente primero nivel atención lograr cada unidad operativo tener capacidad conocer cuidar individuo familia comunidad cargo manera participativo ser reconocer puerta entrada sistema salud;salud
1;133;unidad operativo primero nivel deber poder garantizar obtención cobertura máximo acción promoción prevención tener bajo costo gran efectividad inmunización control prenatal planificación familiar etc;
1;135;atención vigilancia intervención comunitario intersectorial garantizar cumplimiento meta salud zona cobertura;salud
1;136;blindar cualquiera posibilidad privatización hospital;
1;137;atender prioridad salud mujer etapa vida;salud
1;138;priorizar implementación estrategia atención salud inclusivo grupo poblacional diverso término edad etnio género condición económico privación libertad discapacidad;salud
1;139;constituir equipo estudio planificación técnico experimentado msp orientado generación estrategia efectivo contribuir implementación ámbito nacional modelo atención integral salud familiar comunitario intercultural cuyo desarrollo sufrir retroceso actual administración;salud, cultura, desarrollo
1;140;retomar formación personal salud acuerdo necesidad atención población país modelo atención integral salud dar especial atención dirección distrital instancia fundamental organización trabajo operativizar modelo atención integral salud nivel territorial;salud
1;141;impulsar producción medicamento genérico través industria nacional campo integración regional;industria
1;142;priorizar inversión público orientado primero infancia niño niña generar institucionalidad necesario declarar emergencia niñez articular sistema integrado atención primero infancia organizar red gestión mejorar acción estatal amplíen política público social cultural salud educación cuidado vivienda amparar niño persona cargo;salud, cultura, educación, política, inversión, vivienda
1;143;atender emergencia alimentario nutricional incluir incrementar presupuesto programa alimentario presupuesto comedor huerta escolar comunitario familiar implementar canasta básico primero infancia;
1;144;garantizar derecho alimentación medida eliminación iva producto canasta básico primero infancia;
1;145;apoyar organización social economía solidario centro institución brindir atención servicio adulto mayor impulsar actividad formación recreación turismo social comunitario;turismo, economía
1;146;fomentar iniciativa proyecto atender adulto mayor haber ser víctima abandono;
1;147;atender fortalecer deporte actividad físico diverso manifestación entendiéndolo derecho factor coadyuvante formación integral ciudadanía dentro marco sistema educativo demás aspecto vida social ofrecer oportunidad especial persona joven niño niñas adolescente persona adulto mayor persona discapacidad;deporte
1;148;abordar medida respecto consumo sustancia psicoactiva problema salud público;salud, salud pública
1;149;impulsar pleno cumplimiento derecho hábitat vivienda tal recogido constitución;vivienda
1;151;implementar plan nacional vivienda efecto garantizar acceso partir principio universalidad equidad interculturalidad enfoque gestión riesgo b;cultura, vivienda
1;152;impulsar plan público rehabilitación vivienda priorizar familia necesidad habitacional urgente;vivienda
1;153;c;
1;154;desarrollar nuevo plan programa garantía alquiler social asequible nuevo regulación control contrato arrendamiento evitar abuso asegurar precio justo;
1;155;protección paralelo seguridad jurídico persona arrendadora;seguridad
1;156;justicia alcanzar paz seguridad orden justicia alcanzar paz seguridad orden diagnóstico consciente importancia fundamental búsqueda paz seguridad orden país apostar sistema protección ciudadano equitativo efectivo;justicia, seguridad
1;157;creer paz seguridad orden ser pilar fundamental cualquiera sociedad justo progresista confianza ciudadanía tranquilidad social resultar fundamental tener garantía convivencia pacífico;seguridad
1;158;reconocer paz requerir orden imparcial discriminación ninguno causa;
1;159;comprometer promover cultura paz nivel sociedad fomentar educación basado respeto empatía;cultura, educación
1;160;asegurar paz seguridad ser aspecto crucial deber ser abordar manera urgente integral;seguridad
1;161;persona deber poder vivir miedo violencia crimen opresión;
1;162;implementaremo política acción asegurar seguridad ciudadano mediante estrategia integral lado abordar causa subyacente inseguridad pobreza exclusión social falta oportunidad actúen contundencia pleno respeto derechos humanos frente violencia calle;seguridad, pobreza, política, derechos humanos, seguridad ciudadana
1;163;apostar sociedad basado derechos humanos solidaridad justicia social;justicia, justicia social, derechos humanos
1;164;rechazar cualquiera forma represión injustificado violación derecho individual colectivo;
1;165;rechazar corrupción influencia crimen organizado instancia público;corrupción, crimen organizado
1;166;defendar sistema jurídico justo imparcial ciudadano ser tratar igual ley independientemente estatus social raza género orientación sexual u característica;
1;167;comprometer trabajar conjunto organización política social institución seguridad sociedad civil promover proteger paz seguridad orden;política, seguridad
1;168;exigimos rendición cuenta aquel atentar valor propiciar implementación política medida efectivo promover justicia equidad comunidad;justicia, política
1;169;descartar realización proceso reconstituyente re institucionalizar país;
1;170;convocamos responsable seguridad aplicación ley sistema protección ciudadano sociedad conjunto tomar medida concreto promover justicia beneficio paz seguridad orden;justicia, seguridad
1;171;implicar garantizar protección persona independiente influencia política económico basado principios transparencia imparcialidad respeto derechos humanos rendición cuenta proponer ciudadanía paz restituir ministerio coordinador seguridad ministerio justicia derechos humanos culto;seguridad, justicia, política, derechos humanos, transparencia
1;172;reestructurar ministerio interior gobierno depurar fila fuerza seguridad;seguridad, gobierno
1;173;establecer nuevo modelo seguridad ciudadano basado prevención reducción violencia convivencia pacífico justicia equidad derechos humanos;justicia, seguridad, derechos humanos, seguridad ciudadana
1;174;retomar control estatal sistema rehabilitación social reafirmar monopolio arma;
1;175;establecer centro público desintoxicación rehabilitación reinserción social zona urbano rural abordar problema adicción manera integral;
1;176;prevenir crimen política programa prevención delito;política
1;177;mejorar capacidad investigación persecución delito;
1;178;fortalecer capacidad investigación recolección prueba persecución delincuente cuanto aplicación ley justicia penal garantizar así respuesta efectivo oportuno crimen;justicia
1;179;re institucionalizar país mediante proceso constituyente participativo;
1;180;promover cooperación intercambio información actividad criminal patrón delictivo institución encargado seguridad nivel nacional internacional objetivo prevenir combatir eficazmente crimen transnacional organizado;seguridad
1;181;combatir impunidad implementar medida garanticir delincuente ser llevar justicia aplicar sanción proporcional disuasoria acción incluir fortalecer sistema judicial penitenciario asegurar juicio justo transparente;justicia
1;182;proteger víctima asegurar reparación rehabilitación;
1;183;brindar apoyo protección integral víctima crimen asegurar tener acceso servicio apoyo emocional asistencia legal atención médico;
1;184;además promover programa rehabilitación reinserción social víctima requeír;
1;185;desarrollar estrategia inteligencia tecnología;tecnología
1;186;utilizar herramienta tecnológico análisis dato identificar patrón delictivo anticipar tendencia criminal fortalecer capacidad prevención respuesta crimen;
1;187;educar concientizar sociedad;
1;188;implementar programa educativo campaña concienciación promover cultura respeto ley derechos humanos valor ético así sensibilizar consecuencia crimen importancia participación ciudadano prevención denuncia delito;derechos humanos, cultura, ciencia
1;189;organizar participación solidaridad ciudadano así mecanismo alarma comunitario junto gad nivel restituir respaldar;
1;190;asamblea comunitario;
1;191;b;
1;192;botón seguridad;seguridad
1;193;c;
1;194;alarma comunitario;
1;195;d;
1;196;reapropiación espacio encuentro ciudadano;
1;198;diagnóstico local comunitario restituir asamblea comunitario seguridad ciudadano elemento información prevención veeduer cívico acción policial;seguridad, seguridad ciudadana
1;199;promover mediación resolución pacífico conflicto alternativa violencia fomentar diálogo construcción consenso sociedad;
1;200;sensibilizar educar ciudadanía derecho responsabilidad materia seguridad promover cultura corresponsabilidad prevención solución problema seguridad;seguridad, cultura
1;201;desarrollar deporte música actividad promoción igualdad género cultura paz combate machismo violencia;deporte, igualdad de género, cultura, igualdad
1;202;avanzar reconocimiento respeto tiempo descanso ocio diversificar democratizar goce así promoción actividad enriquecedora cultural educativo;cultura
1;203;ciudadanir seguridad fortalecer sistema integrado seguridad ecu fomentar utilización inteligencia artificial ia optimizar reconocimiento rastreo facial vehículo;inteligencia artificial, seguridad
1;204;fortalecer mecanismo convivencia barrio solidaridad vecino control seguridad;seguridad
1;205;constituir agencia especial combatir ciberdelito allá ciberdefensa nacional;
1;206;implementar acción mejor seguridad vial prevención reducción accidente tránsito;seguridad
1;207;establecer sistema formación derechos humanos fuerza público guía sistema penitenciario;derechos humanos
1;208;recuperar gratuidad preparación ingreso ffaa policía;
1;209;establecer política mecanismo ffaa policía cumplir rol defensa protección derechos humanos conjunto ciudadanía;política, derechos humanos
1;210;tolerancia uso excesivo fuerza represión legítimo protesta terrorismo;
1;211;garantizar protección derecho seguridad ciudadano promover cultura respeto derechos humanos actuación autoridad encargado seguridad;seguridad, derechos humanos, cultura
1;212;fomentar prevención delito violencia través programa política integral abordar causa subyacente inseguridad pobreza desigualdad exclusión social falta oportunidad;política, pobreza, igualdad, seguridad
1;213;fortalecer capacidad formación calidad fuerza seguridad poder responder manera eficaz respetuoso desafío seguridad utilizar método basado respeto derechos humanos aplicación ley manera imparcial;seguridad, derechos humanos
1;214;recuperar gratuidad preparación ingreso escuela policía nacional guía penitenciario;
1;215;impulsar campaña nacional renovación dignificación policía nacional protectora población civil favor buen vivir convivencia pacífico ciudadanía defensa naturaleza;
1;216;actualizar sueldo salario policía acorde inflación realidad económico país;
1;217;realizar programa intensivo devolver motivar confianza ciudadanía policía nacional fortalecer crear unidad especializado lavado activo ciberdelito tráfico migrantes tratar protección infancia;
1;218;fortalecer equidad género dentro institución generación institucionalidad mujer policía prevención seguimiento investigación feminicidio tratar persona fin explotación sexual violencia mujer;
1;219;promover participación ciudadano formulación política seguridad así supervisión evaluación actuación autoridad encargado seguridad;política, seguridad
1;220;establecer mecanismo rendición cuenta transparencia gestión seguridad ciudadano asegurar violación derechos humanos ser investigar manera exhaustivo responsable ser llevar justicia;justicia, seguridad, derechos humanos, seguridad ciudadana, transparencia
1;221;fomentar cooperación intercambio información institución encargado seguridad así actor relevante organización sociedad civil comunidad local abordar manera integral desafío seguridad;seguridad
1;222;establecer programa rehabilitación reinserción social aquel haber cometer delito fomentar reintegración sociedad prevenir reincidencia;
1;223;evaluar manera periódico política seguridad ciudadano establecer acción mejor base dato evidencia garantizar eficacia adecuación necesidad sociedad;política, seguridad ciudadana, seguridad
1;224;justicia bienestar económico igualdad oportunidad justicia bienestar económico igualdad oportunidad diagnóstico situación injusticia haber imponer neoliberalismo marcado desigualdad económico unir plan gobierno trabajar justicia económico igualdad oportunidad;justicia, gobierno, igualdad
1;225;reconocer prosperidad deber limitado privilegiado sino deber ser compartir miembro sociedad importar origen género raza cualquiera característica personal;
1;226;afirmar justicia económico implicar acceso equitativo oportunidad recurso recompensa;justicia
1;227;comprometer luchar desigualdad concentración injusta riqueza fomentar sistema cada persona tener posibilidad alcanzar máximo potencial disfrutar vida digno estimular nuevo forma propiedad gestión colectivo;igualdad
1;228;rechazar cualquiera forma discriminación exclusión obstaculizar igualdad oportunidad;igualdad
1;229;oponer barrera limitar acceso educación empleo vivienda servicio básico;vivienda, empleo, educación
1;230;buscar construir sociedad cada individuo tener libertad elegir camino desarrollar habilidad importar origen socioeconómico;
1;231;comprometer promover distribución justo recurso oportunidad económico;
1;232;promover política fiscal progresivo asegurar carga equitativo aquel tener mayor capacidad contributivo;política
1;233;buscar impulsar creación empleo digno salario justo condición laboral adecuado promover movilidad social inclusión económico;empleo, movilidad
1;234;entender justicia económico requerir enfoque integral abordar desigualdad estructural promueva inclusión grupo marginado;justicia, igualdad
1;235;comprometer desafiar prejuicio estereotipo perpetuar discriminación construir sociedad cada persona tener oportunidad prosperar contribuir plenamente;
1;236;plan gobierno llamar acción aquel compartir visión justicia económico igualdad oportunidad;justicia, gobierno, igualdad
1;237;junto poder construir sistema económico inclusivo sostenible igualitario;
1;238;justicia económico igualdad oportunidad ser pilar fundamental sociedad justo próspero;justicia, igualdad
1;239;comprometer trabajar junto superar diferencia construir puente alcanzar futuro cada individuo tener libertad perseguir sueño contribuir bienestar común proponer democratizar economía fortalecer mecanismo protección consumidor política extensión protección transparencia contrato así prohibición cláusula abusivo proscripción cláusula abusivo arbitraje;política, economía, transparencia
1;240;deber establecer mecanismo expedito eficiente gratuito resolución conflicto derivado abuso consumidor;
1;241;democratizar acceso recurso financiero mediante fortalecimiento banca público finanza popular motor inversión nacional;finanzas, inversión
1;242;disminuir manera generalizado tasa interés activo país segmento especial énfasis crédito microempresa desempeñar actividad productivo detrimento crédito consumo suntuario;
1;243;consolidar regenerar capacidad económico organizativo sector popular sector urbano rural particular economía popular solidaria campesinado;economía
1;244;través senadi divulgar tecnología dominio público ser decir patente vencido vigente país ser sujeto protección ecuador fortalecimiento sector tecnológico nacional;tecnología
1;245;apoyar mipym actor economía popular solidariar uso herramienta gestión conocimiento optimicir tecnología divulgado;tecnología, economía
1;246;simplificar requisito procedimiento administrativo necesario obtención crédito registro sanitario permiso venta público micro pequeño mediano empresa mipym emprendedor;
1;247;poner disposición sector privado herramienta propiedad industrial contribuir aumentar valor agregado producto servicio empresa ecuatoriano;industria
1;248;regular manejo almacenamiento información digital usuario clase servicio país protección dato;protección de datos
1;249;prohibir venta cesión dicho dato tercero salvo consentimiento explícito voluntario persona;
1;250;respetar derecho privacidad información fortalecer estándar dato abierto reducir barrera entrada distinto industria conforme sugerido estándar internacional través mecanismo portabilidad información centro compensación dato interfaz programación aplicación intercambio dato etc;industria
1;251;garantizar principio neutralidad red establecido código ingenio manera salvaguardar libre elección privacidad transparencia discriminación acceso información parte usuario;transparencia
1;252;reformar régimen insolvencia balancear relación poder deudor acreedor mediante fortalecimiento mecanismo reorganización empresarial par sancionar aquel entidad financiero haber participar préstamo predatorio;
1;253;régimen deber establecer mecanismo especial pyme;
1;254;reducir comisión bancario fomentar comercio electrónico reducir costo transacción;comercio
1;255;desconcentrar mercado regular acuerdo horizontal competidor cada eslabón cadena valor evitar fijación precio reparto mercado etc;
1;256;transparentar facilitar comparación precio condición implementar mecanismo unificado presentación oferta especial mercado oligopólico;
1;257;regular fusión adquisición empresa tipo horizontal mismo mercado tipo vertical mismo sector eslabón diferente cadena valor prevenir exceso concentración industrial así práctica afectar negativamente justo proceso empresa reparto mercado;industria
1;258;reforzar rol superintendencia control poder mercado dotándolo recurso necesario evitar margen acción debajo poder tener oligopolio regular controlar;
1;259;auditar caso necesario detener revertir proceso concesión privatización venta activo público;
