ID;Oracion_ID;Oracion;Temas Clave;Partido;CandidatoPresidente;CandidatoVicePresidente;ListaPolitica
1;12;justicia internacional soberanío integración objetivo;justicia;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;13;justicia desarrollo conocimiento objetivo;justicia, desarrollo;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;14;justicia construcción sociedad respeto valor intergeneracional cumplimiento plan gobierno ser evaluar periódicamente mediante mecanismo público vigilancia rendición cuenta;justicia, gobierno;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;15;rendición cuenta hacer público anualmente asamblea marca norma constitucional realizar asamblea popular directa abierto;;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;16;control periódico plan activar instancia señalada constitución ley orgánico participación ciudadano consejo participación ciudadano consejo nacional planificación consejo consultivo participativo cada ministerio consejo nacional igualdad asamblea plurinacional intercultural buen vivir consejo ciudadano sectorial;cultura, igualdad;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;17;continuación detallar propuesta estrategia plurianual realizar él cada objetivo específico;;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;18;justicia buen vivir justicia buen vivir diagnóstico momento vida encontrar sometido amenaza constante propuesta centrar defensa así protección derechos humanos naturaleza;justicia, derechos humanos;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;19;unir abogar valoración respeto forma vida reconocer cada ser tener derecho innato existir crecer armonía entorno;;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;20;afirmar justicia vida reproducción vida deber prevalecer esfera sociedad;justicia;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;21;implicar recuperación bien servicio público recuperación integral economía empleo salud alimentación;servicios públicos, salud, economía, empleo;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;22;reconocer aspecto fundamental vida intrínsecamente entrelazado fortalecimiento ser crucial buen vivir sociedad;;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;23;último siete año gobierno haber dar espalda pueblo ecuatoriano haber entregar país interés minoría rico dejar cicatriz economía permitir pérdida empleo precarización laboral haber afectar salud millón persona haber agravar desigualdad social;gobierno, salud, economía, empleo, igualdad;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;24;situación creer capacidad ecuador levantarno junto junto convicción poder superar desafío construir futuro próspero equitativo;;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;25;abogar recuperación económico inclusivo sostenible;;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;26;rechazar política práctica perpetuar desigualdad concentración riqueza lugar promover enfoque fomentar acceso equitativo oportunidad económico así creación empleo digno emprendimiento innovación;emprendimiento, innovación, política, empleo, igualdad;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;27;reconocer empleo ser pilar fundamental dignidad estabilidad económico persona;empleo;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;28;comprometer impulsar política programa fomentar ingreso básico universal generación empleo digno estable apoyo capacidad contratación empresa particular pequeño mediano así formación cualificación profesional permanente;política, empleo;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;29;buscar construir sociedad cada persona tener oportunidad contribuir prosperar importar origen género cualquiera característica personal sociedad trabajo asalariado caracterizar competencia condición laboral digno nunca sociedad salario bajo trabajo barato;;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;30;salud ser derecho humano fundamental;salud;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;31;defendar sistema salud accesibl resilient equitativo garantizar atención médico persona independientemente situación económico;salud;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;32;fortalecerer investigación científico prevención enfermedad promoción estilo vida saludable;salud;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;33;defendar acceso universal medicamento tratamiento sostenible promover colaboración global abordar desafío sanitario;;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;34;alimentación ser derecho básico ser humano;;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;35;comprometer promover sistema alimentario sostenible garantizar seguridad alimentario diversidad alimento nutritivo acceso equitativo;seguridad;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;36;abogar protección medio ambiente promoción agricultura regenerativo apoyo pequeño agricultor productor local;medio ambiente, ambiente, agricultura, cultura;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;37;aquí llamar acción aquel compartir visión recuperación integral patria;;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;38;instamos ecuatoriano unir él misión;;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;39;junto junto poder construir futuro economía ser inclusivo sostenible empleo ser digno abundante salud ser derecho alimentación ser seguro nutritiva proponer economía deuda público crédito inversión social estabilizar crecimiento nivel producción agregado consistir detener caída producción recuperar nivel producción real;salud, economía, empleo, inversión;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;40;recuperar profundizar instrumento gestionar liquidez economía proteger dolarización;economía;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;41;impulsar transición hacia economía post petrolero estimular producción petrolera incentivo sector valor agregado procurar proceso incremento relativo participación manufactura industria alto incorporación conocimiento tecnología frente producción total;tecnología, economía, industria;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;42;orientar política económico incentivar formalización micro pequeño empresa mediante regímén simplificado exención nivel tributación permitir mantener él evitar cierre crítico situación económico enfrentar país;política;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;43;realizar auditoría integral deuda público año;;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;44;establecer principio irrenunciable cualquiera negociación acreedor deuda público prioridad trabajo digno crecimiento inclusivo condición necesario cumplir cualquiera compromiso;;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;45;recuperar inversión estatal sector social aplicar presupuesto social sectorial acuerdo proporción señalada constitución;inversión;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;46;apoyar economía dar prioridad sector social solidario crédito accesib él acceso preferencial compra público aplicación inclusión económico percha mecanismo liquidez través institución finanza popular diferimiento pago apoyo desarrollo herramienta virtual promover espacio negocio entrar contacto directo productor consumidor apoyo productor eps incorporar mecanismo asegurar alto estándar calidad apoyar proceso incorporación valor agregado etc;economía, desarrollo, finanzas;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;47;fortalecer rol orientador desarrollo agrario promover estructura agrario combinir diferente forma organización producción considerar unidad familiar forma organización social producción producción empresarial;desarrollo;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;48;cuidar particularmente sostenibilidad productivo financiero micro pequeño mediano empresa empresa economía popular solidariar establecer incentivo tributario adecuado mejorar condición acceso mercado nacional promover así sostenibilidad empleo generar sector;economía, empleo, sostenibilidad;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;49;elaborar plan vinculación científicotecnológico aplicado economía social popular permitir articulación diferente dispositivo tecnológico financiamiento investigación aplicado territorio;economía;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;50;impulsar soberanía alimentario fortalecer productor economía popular agricultura familiar producir buen parte alimento país;agricultura, economía, cultura;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;51;financiar producción red comercialización;;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;52;priorizar parte compra alimento organización agricultura familiar economía popular;agricultura, economía, cultura;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;53;apoyar cooperativismo agrario forma producción economía popular pequeño mediano empresa mediante fortalecimiento organización social ingreso cadena valor proceso productivo comercial;economía;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;54;reactivar política público producción agrícola precio sustentación mediante unidad nacional almacenamiento medio protección pequeño agricultor;política;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;55;recuperar reconstruir capacidad sector público brindar servicio esencial calidad área salud educación bienestar social justicia seguridad;justicia, seguridad, salud, educación;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;56;buscar convergencia política económico laboral política social revertir rápidamente incremento pobreza desigualdad reinstaurar agenda público decidido reducción pobreza extremo pobreza desigualdad;política, pobreza, igualdad;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;57;establecer sistema masivo crédito tasa bajo desendeudar familia;;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;58;resolver problemática social económico generado creciente oferta crédito interés cláusula costo ilegal abusivo;;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;59;estabilizar ingreso petrolero adecuar presión tributario incluir impuesto subnacional contribución seguridad social etc;seguridad;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;60;dentro nivel conveniente acorde estándar internacional proceso simplificación tributario mantener mejorar condición nivel empleo;empleo;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;61;revisar política subsidio criterio estrategia justicia redistributivo priorizar sector agricultura transporte;transporte, agricultura, cultura, justicia, política;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;62;luchar corrupción fiscal evasión establecer sistema transparencia definitivo capturar incremento patrimonial justificado;transparencia, corrupción;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;63;aplicar principio generalidad sistema tributario simplificar él hacer él eficiente;;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;64;aplicar criterio progresividad suficiencio equidad tributario pro crear incentivo agente económico productivo;ciencia;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;65;ciudadanir empleo digno ingreso básico universal seguridad social universal orientar política laboral hacia recuperación mejoramiento nivel calidad empleo poner centro modelo respeto derecho laboral individual colectivo estabilidad trabajo condición laboral seguro saludable salario digno tiempo trabajo compatible vida personal laboral familiar hombre mujer lugar trabajo libre violencia acoso protección maternidad etapa reconocimiento padre madre tiempo cuidado crianza proteger estabilidad laboral;política, salud, empleo, seguridad;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;66;vinculado permanente diálogo social tripartito mano tendido manera permanente sindicato empresario fomentar negociación colectivo;;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;67;controlar empresa utilizar plataforma digital asegurar respetar derecho laboral persona emplear régimen asalariado;;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;68;crear mecanismo política integrar joven expulsado mundo educativo laboral;política;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;69;marco impulsar legislación reivindicar derecho primero empleo joven estrategia práctica formación dual exención tributario empresa generar empleo formal joven;empleo;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;70;establecer política beca terminalidad educativo formación profesionalización crédito emprendimiento generar trabajo joven;emprendimiento, política;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;71;implementar política público sostenimiento simultáneo trayectoria educativo laboral joven articular necesidad derecho;política;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;72;implementar política público discriminación estigma pesar joven así situación segregación exclusión condicionar vida visibilizar diferente modo ser joven reconocer derecho diversidad;política;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;73;promover economía social garantizar crédito maquinaria herramienta capacitación seguimiento acompañamiento;economía;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;74;fortalecer programa microcrédito incorporar diferente escala línea financiamiento flexibilizar método generar masividad crear banca crédito local regional gobierno local;gobierno;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;75;generar obra público comunitario emergente prioricir vinculación trabajadora trabajador desempleado;;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;76;establecer modelo vinculación plan social trabajo facilitar persona beneficiario plan insertar mercado laboral manera formal;;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;77;reformar profundidad iess favor persona afiliada cumplir aporte patronal transparentar cálculo actuarial tomar correctivo necesario modernizar gestión lograr servicio oportuno calidad;;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;78;mejorar cuantía dignificar prestación;;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;79;impulsar sistema seguridad social componente convergir base principio universalidad solidaridad igualdad suficiencio participación social así equidad viabilidad fiscal;ciencia, seguridad, igualdad;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;80;recuperar lucha trabajo infantil protección adolescente trabajador;;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;81;ciudadanir educación recuperar universidad público universidad emblemático país programa beca exterior excelencia calidad;educación;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;82;cumplir preasignación presupuestario constitucional educación incrementar inversión educativo;inversión, educación;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;83;democratizar acceso educación garantizar derecho estudiante educación público calidad gratuito nivel educativo inicial educación general básico bachillerato tercer nivel universitario;educación;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;84;reforzar recurso capacidad educación etapa temprano avanzar modelo priorizar experimentación creatividad capacidad resolución problema desarrollo capacidad personal adquisición competencia básico;desarrollo, educación;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;85;fomentar ampliación cobertura educación secundario favorecer particular formación técnico tecnológico sector ligado producción industrial artesanal agrícola combinar perspectiva desarrollo social productivo incorporar criterio alfabetización digital;industria, desarrollo, educación;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;86;garantizar derecho docente ecuatoriano mejorar calidad educativo fortalecer trabajo mediante regulación carrera docente escalafón reivindicar derecho responsabilidad;;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;87;política salarial remuneración justo acuerdo profesionalización desempeño mérito académico nivel educativo;política;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;88;b;;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;89;estabilidad docente nivel modalidad;;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;90;c;;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;91;promoción movilidad alternancia docente;movilidad;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;92;d;;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;93;profesionalización actualización formación continuo mejoramiento personal pedagógico académico;;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;94;fortalecer incrementar instituto educación superior;educación superior, educación;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;95;revisar modelo pedagógico incentivar pensamiento crítico estudiante;;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;96;revisar plan decenal educativo fortalecimiento sistema educativo nacional;;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;97;garantizar cobertura universal oferta educativo público nivel nacional bajo principio equidad social territorial regional;;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;98;implementar política facilitar acceso universal diferente nivel educación facilidad movilidad región geográfico;política, educación, movilidad;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;99;recuperar fortalecer unidad educativo milenio uem garantizar acceso población escolar zona rural usualmente excluido servicio educativo;;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;100;distribuir recurso educación criterio equidad social poblacional territorial eliminar brecha desigualdad étnico género urbano rural condición físico;igualdad, educación;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;101;requerir rendición cuenta resultado educativo gestión recurso público parte institución fiscomisional artesanal comunitario financiamiento estatal garantizado principio gratuidad igualdad oportunidad;igualdad;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;102;combatir déficit educacional cuanto analfabetismo puro funcional digital;;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;103;desarrollar modalidad formal formal permitir oportunidad educativo persona adulto superación rezago educativo;;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;104;enlazar educación necesidad económico productivo social cultural ambiental territorio;cultura, educación;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;105;mejorar infraestructura equipamiento físico tecnológico institución educativo;infraestructura;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;106;reducir brecha tecnológico conectividad urbano urbanomarginal rural mediante cobertura universal energía eléctrico telecomunicación internet territorio nacional;energía;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;107;recuperar infocentro mecanismo democrático equitativo acceso tecnología mejoramiento educativo población rural urbano escaso ingreso económico;tecnología;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;108;incorporar tecnología información comunicación tic proceso educativo;tecnología;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;109;erradicar forma violencia sistema educativo velar integridad físico psicológico sexual estudiante;;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;110;brindar atención psicopedagógico oportuno adecuado estudiante capacidad necesidad especial país;;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;111;adaptar sistema educación rural realidad necesidad territorial potenciar desarrollo capacidad niño joven hombre mujer rural así generar oportunidad territorio garantizar mejor condición ejercicio derecho libre movilidad;desarrollo, educación, movilidad;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;112;establecer sistema nacional evaluación fomentar mejora continuo;;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;113;fortalecer ampliar bachillerato técnico instituto técnico tecnológico superior calidad pertinencia necesidad potencialidad territorio;;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;114;mejorar sistema nivelación admisión ingreso educación superior público criterio accesibilidad equidad justicia social;accesibilidad, educación superior, justicia, justicia social, educación;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;115;establecer mecanismo regulado beca crédito cobro cuota ingreso u permitir equidad social ingreso educación superior particular;educación superior, educación;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;116;establecer incentivo académico económico estudiante entorno socioeconómico desfavorecido demostrar alto rendimiento académico;;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;117;impulsar profesionalización trabajador través reconocimiento actualización cualificación laboral;;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;118;ciudadanir salud alimentación vivienda digno ampliar presupuesto atención salud obligación superior;salud, vivienda;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;119;garantizar plan presupuestario casa salud existente poder recuperar función calidad;salud;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;120;reincorporar personal sanitario medicina enfermería personal asistencial despedido ilegalmente pasado año fijar salario digno sector salud;salud;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;121;garantizar derecho salud deber primordial deber proveer ciudadano oportunidad mantener grado máximo salud;salud;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;122;fortalecer política ser determinante mantenimiento salud infraestructura sanitario acceso medicamento servicio médico asegurar agua potable así alcantarillado seguridad alimentario educación cultura físico ambiente sano hábitat saludable vivienda adecuado etc;salud, ambiente, política, seguridad, vivienda, educación, infraestructura, cultura;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;123;apoyar gad lograr dotación universal agua potable seguro alcantarillado recolección basura adecuado tratamiento desecho sólido potenciar acción promoción propiciar actividad físico recreación hábito saludable fin contener disminuir enfermedad través prevención;salud;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;124;priorizar desarrollo estrategia intersectorial eficiente efectivo luchar malnutrición;desarrollo;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;125;desarrollar estrategia multidisciplinario intersectorial hacia erradicación violencia intrafamiliar violencia género forma violencia ámbito privado público;;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;126;consolidar sistema nacional salud tener base atención primario salud dar verdadero prioridad promoción prevención logro acceso equitativo universal oportuno continuo base especificidad étnico cultural ciclo vida género territorial consolidar articulación intersectorial participación ciudadano diferente nivel atención;salud, cultura;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;127;implicar atención gratuito constitución red integral atención incluir diferente nivel complejidad involucrar recurso existente público msp iess ffaa privado bajo rectoría regulación autoridad sanitario nacional;;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;128;incluir unidad salud privado prestadora servicio médico través bajo sistema único salud respetar criterio eficiencia eficacio transparencia;salud, ciencia, transparencia;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;129;fortalecer unidad salud hospital unidad salud general cuanto infraestructura personal equipamiento abastecimiento insumo medicamento según nivel complejidad retomar cumplimiento estándar internacional calidad;infraestructura, salud;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;130;establecer presupuesto anual plurianual mantener equipo instalación hospitalario momento desabastecido deteriorado tras siete año descuido administración actual;;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;131;propiciarar adquisición equipo médico asignación presupuestario mantenimiento preventivo correctivo vida útil equipo;;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;132;invertir especialmente primero nivel atención lograr cada unidad operativo tener capacidad conocer cuidar individuo familia comunidad cargo manera participativo ser reconocer puerta entrada sistema salud;salud;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;133;unidad operativo primero nivel deber poder garantizar obtención cobertura máximo acción promoción prevención tener bajo costo gran efectividad inmunización control prenatal planificación familiar etc;;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;135;atención vigilancia intervención comunitario intersectorial garantizar cumplimiento meta salud zona cobertura;salud;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
1;136;blindar cualquiera posibilidad privatización hospital;;REVOLUCIÓN CIUDADANA - RETO;LUISA GONZALEZ;DIEGO BORJA;5-33
